	Object Number	Is Highlight	Is Public Domain	Object ID	Department	Object Name	Title	Culture	Period	Dynasty	Reign	Portfolio	Artist Role	Artist Prefix	Artist Display Name	Artist Display Bio	Artist Suffix	Artist Alpha Sort	Artist Nationality	Artist Begin Date	Artist End Date	Object Date	Object Begin Date	Object End Date	Medium	Dimensions	Credit Line	Geography Type	City	State	County	Country	Region	Subregion	Locale	Locus	Excavation	River	Classification	Rights and Reproduction	Link Resource	Metadata Date	Repository
208883	1984.66	False	True	334372	Drawings and Prints	Drawing	Allegorical Figure of the City of Piacenza, for a Pendentive in the Chapel of Saint-Roch, Church of Saint-Sulpice, Paris (recto); Studies for the Same Figure (verso)						Artist		Alexandre Denis Abel de Pujol	French, Valenciennes 1785–1861 Paris		Abel de Pujol, Alexandre Denis	French	1785      	1861      	1821	1821	1821	Graphite, heightened with white, squared in graphite, on beige paper	Sheet: 11 13/16 x 9 1/2 in. (30 x 24.2cm)	Purchase, The David L. Klein, Jr. Memorial Foundation, Inc. Gift, 1984												Drawings		http://www.metmuseum.org/art/collection/search/334372	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
208884	1984.76	False	True	334373	Drawings and Prints	Drawing	"Study for ""Mme Théodore Gobillard"" (née Yves Morisot)"						Artist		Edgar Degas	French, Paris 1834–1917 Paris		Degas, Edgar	French	1834      	1917      	1869	1869	1869	Graphite, squared, on buff tracing paper, mounted on laid paper	Sheet: 12 3/8 x 17 5/16 in. (31.5 x 44cm)	Purchase, Harris Brisbane Dick Fund, David T. Schiff Gift, and Gifts in memory of Joseph Thomas, 1984												Drawings		http://www.metmuseum.org/art/collection/search/334373	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
208998	1991.1	False	True	334488	Drawings and Prints	Drawing	Group of Apostles						Draftsman		Hippolyte Flandrin	French, Lyons 1809–1864 Rome		Flandrin, Hippolyte	French	1809      	1864      	1854–61	1854	1861	Graphite, squared, on light gray paper	12 1/16 x 8 7/8 in. (30.6 x 22.6cm)	Purchase, Stephen A. Geiger Gift, 1991												Drawings		http://www.metmuseum.org/art/collection/search/334488	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
208999	1991.111	False	True	334489	Drawings and Prints	Drawing	Standing Soldier: Study for the Chapel of Saints Peter and Paul in the Church of  Saint-Séverin, Paris						Artist		Victor-François-Eloi Biennourry	French, Bar-sur-Aube 1823–1893 Paris		Biennourry, Victor-François-Eloi	French	1823      	1893      	1851–52	1851	1852	Conté crayon and red chalk, heightened with white, squared in conté crayon	Sheet: 17 5/16 x 8 7/8 in. (43.9 x 22.5cm)	Purchase, Mrs. Carl L. Selden Gift, in memory of Carl L. Selden,												Drawings		http://www.metmuseum.org/art/collection/search/334489	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
209060	1992.1043.4	False	False	334551	Drawings and Prints	Print	Untitled					"From the series ""Forms Derived from a Cube"" (set of 24)"	Artist|Printer|Publisher	Printed by|Published by	Sol LeWitt|Jeryl Parker|Multiples/Goodman Gallery	American, Hartford, Connecticut 1928–2007 New York		Lewitt, Sol|Parker, Jeryl|Multiples/Goodman Gallery	American|American	1928      |1900      	2007      |1999      	1982	1982	1982	Aquatint and etching	"sheet: 20 11/16 x 21 in. (52.5 x 53.3cm)
plate: 17 11/16 x 17 15/16 in. (45 x 45.5cm)"	Gift of Norman B. Colp and Marsha Stern-Colp, 1992												Prints	© 2017 Artists Rights Society (ARS), New York	http://www.metmuseum.org/art/collection/search/334551	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
210291	53.600.3678	False	True	335792	Drawings and Prints	Drawing	Landscape with a Large Building						Artist		Franz von Hauslab the Younger	Austrian, Vienna 1798–1883		Hauslab, Franz  von, the Younger	Austrian	1798      	1883      	1818–83	1818	1883	Watercolor over graphite	9 5/8 x 15 3/4 in.  (24.4 x 40 cm)	Harris Brisbane Dick Fund, 1953												Drawings		http://www.metmuseum.org/art/collection/search/335792	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
210292	53.600.3637	False	True	335793	Drawings and Prints	Drawing	Landscape with a Large Building						Artist		Franz von Hauslab the Younger	Austrian, Vienna 1798–1883		Hauslab, Franz  von, the Younger	Austrian	1798      	1883      	1818–83	1818	1883	Graphite, squared	14 7/8 x 19 1/2 in.  (37.8 x 49.6 cm)	Harris Brisbane Dick Fund, 1953												Drawings		http://www.metmuseum.org/art/collection/search/335793	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
210564	1996.142.2	False	True	336066	Drawings and Prints	Drawing	Study of Drapery						Artist		Jean-Baptiste Joseph Wicar	French, Lille 1762–1834 Rome		Wicar, Jean-Baptiste Joseph	French	1762      	1834      	1818	1818	1818	Black chalk, heightened with white, squared in black chalk, on beige paper	8 1/2 x 6 9/16 in.  (21.6 x 16.7 cm)	Gift of Margot and Leonard Gordon, 1996												Drawings		http://www.metmuseum.org/art/collection/search/336066	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
211271	1998.406.2	False	True	336782	Drawings and Prints	Drawing	"A Woman Distributing Bread from a Basket: Study for ""Feed the Hungry,"" in the Chapel of the Seven Corporal Works of Mercy (Les Oeuvres de Miséricorde), Church of Saint-Eustache, Paris"						Artist		Victor-François-Eloi Biennourry	French, Bar-sur-Aube 1823–1893 Paris		Biennourry, Victor-François-Eloi	French	1823      	1893      	1850–53	1850	1853	Fabricated black and white chalk, squared with fabricated black chalk, on blue laid paper	15-3/4 x 9-7/8 in.  (40.0 x 25.1 cm)	Gift of Alexander B.V. Johnson and Roberta J.M. Olson, 1998												Drawings		http://www.metmuseum.org/art/collection/search/336782	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
211795	63.167.8	False	True	337307	Drawings and Prints	Drawing	View of the Colosseum from the Basilica of Domitian and the Flavian Palace, Rome						Artist		Henri-Joseph Harpignies	French, Valenciennes 1819–1916 Saint-Privé		Harpignies, Henri-Joseph	French	1819      	1916      	1864	1864	1864	Watercolor over graphite, lightly squared in graphite	"Overall: 10 1/16 x 14 1/2in. (25.6 x 36.8cm)
frame: 16 x 21 in. (40.6 cm)"	Purchase, Arnold Whitridge Gift, 1963												Drawings		http://www.metmuseum.org/art/collection/search/337307	4/10/2017 8:00:07 AM	Metropolitan Museum of Art, New York, NY
